key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
int32,str,str,ActionTimeline,ActionTimeline,Image,ClassJob,ClassJobCategory,byte,Quest,bit&01,uint16,byte,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction
100000,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100001,"作業","耐久を消費して、作業を進める。
効率：<If(Equal(PlayerParameter(68),8))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
成功率：100％",239,246,1501,8,9,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"加工","耐久を消費して、品質を上げる。
効率：100
成功率：100％",240,247,1502,8,9,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"マスターズメンド","耐久を30回復する。",242,249,1952,8,9,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100004,"中級加工","耐久を消費して、品質を上げる。
効率：125
成功率：100％
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>コンボ条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>加工　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>コンボボーナス：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>消費CPが18になる",240,247,1516,8,9,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"マスターズメンドII","耐久を60回復する。",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100006,"ブランド・オブ・ウィンド","耐久を消費して、作業を進める。
風属性レシピの場合は効率が2倍。
効率：100（200）
成功率：90％",239,246,1509,-1,0,1,0,False,0,0,100006,0,0,0,0,0,0,0
100007,"中級作業","耐久を消費して、作業を進める。
効率：150
成功率：90％",239,246,1515,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100008,"上級加工","耐久を消費して、品質を上げる。
効率：150
成功率：90％",240,247,1517,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100009,"ビエルゴの祝福","耐久を消費して品質を上げる。 
「インナークワイエット」でステータス上昇した回数につき効率が20上昇する。 
使用後に「インナークワイエット」の効果は終了する。 
効率：100（100～）
成功率：90％",240,247,1521,-1,0,1,0,False,0,0,100009,0,0,0,0,0,0,0
100010,"経過観察","1ターン何もせずに見守る。",11586,11587,1954,8,9,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100011,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100012,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100013,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100014,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
