key,0,1,2,3,4,5,6
#,Category,,Image,,UnlockCondition,SortKey,Name
int32,byte,byte,Image,byte,BannerCondition,uint16,str
0,0,0,0,0,1,0,"なし"
1,2,0,194002,0,1,1,"光沢"
2,2,0,194003,0,1,6,"四角形"
3,2,0,194004,0,1,7,"水玉"
4,2,0,194005,0,1,8,"菱形"
5,2,0,194006,0,1,2,"格子"
6,2,0,194007,0,1,3,"斜線"
7,2,0,194008,0,1,4,"斜二分割"
8,2,0,194009,0,1,5,"三角形"
9,2,0,194010,0,1,10,"羊皮紙"
10,2,0,194011,0,1,9,"隅飾り"
11,1,0,195002,0,1,1,"陰影"
12,1,0,195003,0,1,2,"光彩"
13,1,0,195004,0,1,3,"水玉"
14,1,0,195005,0,1,4,"手帳"
15,1,0,195006,0,1,5,"スクラップ"
16,1,0,195007,0,1,6,"魔法陣"
17,1,0,195008,0,1,7,"羊皮紙"
18,1,0,195009,0,1,8,"塗料"
19,1,0,195010,0,1,9,"金属看板"
20,1,0,195011,0,1,10,"書物"
21,3,0,197002,0,1,3,"バナー"
22,3,0,197003,0,1,4,"ウェルカムバック"
23,3,0,197004,0,1,5,"メタルサークル"
24,3,0,197005,0,1,6,"ロールバナー：TANK"
25,3,0,197006,0,1,8,"ロールバナー：DPS"
26,3,0,197007,0,1,7,"ロールバナー：HEALER"
27,3,0,197008,0,1,1,"シンプルフレーム：ブラウン"
28,3,0,197009,0,1,2,"シンプルフレーム：ソリッド"
29,3,0,197010,0,1,9,"メモ"
30,3,0,197011,0,1,10,"スクラップ"
31,4,0,198002,0,1,3,"ブラック"
32,4,0,198003,0,1,2,"ホワイト"
33,4,0,198004,0,1,5,"ジェム（ソリッド）"
34,4,0,198005,0,1,4,"ジェム（シンプル）"
35,4,0,198006,0,1,6,"リムサ・ロミンサ"
36,4,0,198007,0,1,7,"グリダニア"
37,4,0,198008,0,1,8,"ウルダハ"
38,4,0,198009,0,1,1,"メタル"
39,4,0,198010,0,298,10,"トリプルトライアドEX"
40,4,0,198011,0,298,9,"トリプルトライアド"
41,5,0,199002,0,1,1,"ギル金貨"
42,5,0,199003,0,1,2,"羽ペン"
43,5,0,199004,0,1,3,"ステッカー"
44,5,0,199005,0,1,4,"地図"
45,5,0,199006,0,1,5,"リボン"
46,5,0,199007,0,1,6,"手紙"
47,5,0,199008,0,1,7,"音符"
48,5,0,199009,0,1,8,"ブーケ"
49,5,0,199010,0,1,9,"メモ"
50,5,0,199011,0,1,10,"切手"
51,2,0,194201,0,156,950,"剣術士"
52,2,0,194202,0,157,951,"斧術士"
53,2,0,194203,0,158,952,"幻術士"
54,2,0,194204,0,159,953,"格闘士"
55,2,0,194205,0,160,954,"槍術士"
56,2,0,194206,0,161,955,"双剣士"
57,2,0,194207,0,162,956,"弓術士"
58,2,0,194208,0,163,957,"呪術士"
59,2,0,194209,0,164,958,"巴術士"
60,2,0,194210,0,300,1000,"ナイト"
61,2,0,194211,0,301,1001,"戦士"
62,2,0,194212,0,302,1002,"暗黒騎士"
63,2,0,194213,0,303,1003,"ガンブレイカー"
64,2,0,194214,0,304,1004,"白魔道士"
65,2,0,194215,0,305,1005,"学者"
66,2,0,194216,0,306,1006,"占星術師"
67,2,0,194217,0,307,1007,"賢者"
68,2,0,194218,0,308,1008,"モンク"
69,2,0,194219,0,309,1009,"竜騎士"
70,2,0,194220,0,310,1010,"忍者"
71,2,0,194221,0,311,1011,"侍"
72,2,0,194222,0,312,1012,"リーパー"
73,2,0,194223,0,313,1013,"吟遊詩人"
74,2,0,194224,0,314,1014,"機工士"
75,2,0,194225,0,315,1015,"踊り子"
76,2,0,194226,0,316,1016,"黒魔道士"
77,2,0,194227,0,317,1017,"召喚士"
78,2,0,194228,0,318,1018,"赤魔道士"
79,2,0,194229,0,232,1019,"青魔道士"
80,2,0,194230,0,268,1100,"木工師"
81,2,0,194231,0,269,1101,"鍛冶師"
82,2,0,194232,0,270,1102,"甲冑師"
83,2,0,194233,0,271,1103,"彫金師"
84,2,0,194234,0,272,1104,"革細工師"
85,2,0,194235,0,273,1105,"裁縫師"
86,2,0,194236,0,274,1106,"錬金術師"
87,2,0,194237,0,275,1107,"調理師"
88,2,0,194238,0,285,1108,"採掘師"
89,2,0,194239,0,286,1109,"園芸師"
90,2,0,194240,0,287,1110,"漁師"
91,0,0,0,0,0,0,""
92,0,0,0,0,0,0,""
93,0,0,0,0,0,0,""
94,0,0,0,0,0,0,""
95,0,0,0,0,0,0,""
96,0,0,0,0,0,0,""
97,0,0,0,0,0,0,""
98,0,0,0,0,0,0,""
99,0,0,0,0,0,0,""
100,0,0,0,0,0,0,""
101,0,0,0,0,0,0,""
102,0,0,0,0,0,0,""
103,0,0,0,0,0,0,""
104,0,0,0,0,0,0,""
105,0,0,0,0,0,0,""
106,0,0,0,0,0,0,""
107,0,0,0,0,0,0,""
108,0,0,0,0,0,0,""
109,0,0,0,0,0,0,""
110,0,0,0,0,0,0,""
111,0,0,0,0,0,0,""
112,0,0,0,0,0,0,""
113,0,0,0,0,0,0,""
114,0,0,0,0,0,0,""
115,0,0,0,0,0,0,""
116,0,0,0,0,0,0,""
117,0,0,0,0,0,0,""
118,0,0,0,0,0,0,""
119,0,0,0,0,0,0,""
120,0,0,0,0,0,0,""
121,0,0,0,0,0,0,""
122,0,0,0,0,0,0,""
123,0,0,0,0,0,0,""
124,0,0,0,0,0,0,""
125,0,0,0,0,0,0,""
126,0,0,0,0,0,0,""
127,0,0,0,0,0,0,""
128,0,0,0,0,0,0,""
129,0,0,0,0,0,0,""
130,0,0,0,0,0,0,""
131,0,0,0,0,0,0,""
132,0,0,0,0,0,0,""
133,0,0,0,0,0,0,""
134,0,0,0,0,0,0,""
135,0,0,0,0,0,0,""
136,0,0,0,0,0,0,""
137,0,0,0,0,0,0,""
138,0,0,0,0,0,0,""
139,0,0,0,0,0,0,""
140,0,0,0,0,0,0,""
141,0,0,0,0,0,0,""
142,0,0,0,0,0,0,""
143,0,0,0,0,0,0,""
144,0,0,0,0,0,0,""
145,0,0,0,0,0,0,""
146,0,0,0,0,0,0,""
147,0,0,0,0,0,0,""
148,0,0,0,0,0,0,""
149,0,0,0,0,0,0,""
150,0,0,0,0,0,0,""
151,0,0,0,0,0,0,""
152,3,0,197901,0,154,4000,"コンパニオン特典1"
153,3,0,197902,0,155,4001,"コンパニオン特典2"
154,4,0,198901,0,154,4000,"コンパニオン特典1"
155,4,0,198902,0,155,4001,"コンパニオン特典2"
156,5,0,199901,0,154,4000,"コンパニオン特典1"
157,5,0,199902,0,155,4001,"コンパニオン特典2"
158,1,0,195901,0,154,4000,"コンパニオン特典1"
159,1,0,195902,0,155,4001,"コンパニオン特典2"
160,1,0,195701,0,319,2500,"絶バハムート討滅戦"
161,3,0,197701,0,319,2500,"絶バハムート討滅戦"
162,4,0,198701,0,319,2500,"絶バハムート討滅戦"
