key,0,1,2,3,4
#,Image,Icon,UnlockCondition,SortKey,Name
int32,Image,Image,BannerCondition,uint16,str
0,0,82091,0,0,"なし"
1,190002,82091,1,1,"無地：グレー"
2,190003,82091,1,3,"四角形"
3,190004,82091,1,4,"無地：パープル"
4,190005,82091,1,5,"グラデーション：TANK"
5,190006,82091,1,7,"グラデーション：DPS"
6,190007,82091,1,6,"グラデーション：HEALER"
7,190008,82091,1,2,"羊皮紙"
8,190009,82091,1,9,"エーテル空間"
9,190010,82091,1,8,"ウッドパターン"
10,190011,82091,1,10,"ヴォイド空間"
11,190301,82091,124,2150,"ナイト（ダイナミック）"
12,190302,82091,125,2151,"戦士（ダイナミック）"
13,190303,82091,126,2152,"暗黒騎士（ダイナミック）"
14,190304,82091,127,2153,"ガンブレイカー（ダイナミック）"
15,190305,82091,128,2154,"白魔道士（ダイナミック）"
16,190306,82091,129,2155,"学者（ダイナミック）"
17,190307,82091,130,2156,"占星術師（ダイナミック）"
18,190308,82091,131,2157,"賢者（ダイナミック）"
19,190309,82091,132,2158,"モンク（ダイナミック）"
20,190310,82091,133,2159,"竜騎士（ダイナミック）"
21,190311,82091,134,2160,"忍者（ダイナミック）"
22,190312,82091,135,2161,"侍（ダイナミック）"
23,190313,82091,136,2162,"リーパー（ダイナミック）"
24,190314,82091,137,2163,"吟遊詩人（ダイナミック）"
25,190315,82091,138,2164,"機工士（ダイナミック）"
26,190316,82091,139,2165,"踊り子（ダイナミック）"
27,190317,82091,140,2166,"黒魔道士（ダイナミック）"
28,190318,82091,141,2167,"召喚士（ダイナミック）"
29,190319,82091,142,2168,"赤魔道士（ダイナミック）"
30,190401,82091,143,3000,"チーム・アストラ"
31,190402,82091,144,3001,"チーム・アンブラ"
32,190403,82091,145,3200,"クリスタルコンフリクト：王者S1"
33,190404,82091,146,3201,"クリスタルコンフリクト：勇者S1"
34,190405,82091,147,3202,"クリスタルコンフリクト：入賞者S1"
35,190406,82091,148,3208,"クリスタルコンフリクト：ブロンズS1"
36,190407,82091,149,3207,"クリスタルコンフリクト：シルバーS1"
37,190408,82091,150,3206,"クリスタルコンフリクト：ゴールドS1"
38,190409,82091,151,3205,"クリスタルコンフリクト：プラチナS1"
39,190410,82091,152,3204,"クリスタルコンフリクト：ダイヤモンドS1"
40,190411,82091,153,3203,"クリスタルコンフリクト：クリスタルS1"
41,190901,82091,154,4000,"コンパニオン特典1"
42,190902,82091,155,4001,"コンパニオン特典2"
43,190201,82091,156,2000,"剣術士"
44,190202,82091,157,2001,"斧術士"
45,190203,82091,158,2002,"幻術士"
46,190204,82091,159,2003,"格闘士"
47,190205,82091,160,2004,"槍術士"
48,190206,82091,161,2005,"双剣士"
49,190207,82091,162,2006,"弓術士"
