key,0,1
#,Item,Name
int32,Item,str
0,0,""
1,7778,"木工秘伝書:第1巻"
2,7779,"鍛冶秘伝書:第1巻"
3,7780,"板金秘伝書:第1巻"
4,7781,"彫金秘伝書:第1巻"
5,7782,"革細工秘伝書:第1巻"
6,7783,"裁縫秘伝書:第1巻"
7,7784,"錬成秘伝書:第1巻"
8,7785,"調理秘伝書:第1巻"
9,7786,"木工秘伝書:ミラージュプリズム"
10,7787,"鍛冶秘伝書:ミラージュプリズム"
11,7788,"板金秘伝書:ミラージュプリズム"
12,7789,"彫金秘伝書:ミラージュプリズム"
13,7790,"革細工秘伝書:ミラージュプリズム"
14,7791,"裁縫秘伝書:ミラージュプリズム"
15,7792,"錬成秘伝書:ミラージュプリズム"
16,7793,"調理秘伝書:ミラージュプリズム"
17,8135,"木工秘伝書:デミマテリア"
18,8136,"鍛冶秘伝書:デミマテリア"
19,8137,"板金秘伝書:デミマテリア"
20,8138,"彫金秘伝書:デミマテリア"
21,8139,"革細工秘伝書:デミマテリア"
22,8140,"裁縫秘伝書:デミマテリア"
23,8141,"錬成秘伝書:デミマテリア"
24,9336,"木工秘伝書:第2巻"
25,9337,"鍛冶秘伝書:第2巻"
26,9338,"板金秘伝書:第2巻"
27,9339,"彫金秘伝書:第2巻"
28,9340,"革細工秘伝書:第2巻"
29,9341,"裁縫秘伝書:第2巻"
30,9342,"錬成秘伝書:第2巻"
31,9343,"調理秘伝書:第2巻"
32,12244,"木工秘伝書:第3巻"
33,12245,"鍛冶秘伝書:第3巻"
34,12246,"板金秘伝書:第3巻"
35,12247,"彫金秘伝書:第3巻"
36,12248,"革細工秘伝書:第3巻"
37,12249,"裁縫秘伝書:第3巻"
38,12250,"錬成秘伝書:第3巻"
39,12251,"調理秘伝書:第3巻"
40,14126,"木工秘伝書:第4巻"
41,14127,"鍛冶秘伝書:第4巻"
42,14128,"板金秘伝書:第4巻"
43,14129,"彫金秘伝書:第4巻"
44,14130,"革細工秘伝書:第4巻"
45,14131,"裁縫秘伝書:第4巻"
46,14132,"錬成秘伝書:第4巻"
47,14133,"調理秘伝書:第4巻"
48,17869,"木工秘伝書:第5巻"
49,17870,"鍛冶秘伝書:第5巻"
50,17871,"板金秘伝書:第5巻"
51,17872,"彫金秘伝書:第5巻"
52,17873,"革細工秘伝書:第5巻"
53,17874,"裁縫秘伝書:第5巻"
54,17875,"錬成秘伝書:第5巻"
55,17876,"調理秘伝書:第5巻"
56,22309,"木工秘伝書:第6巻"
57,22310,"鍛冶秘伝書:第6巻"
58,22311,"板金秘伝書:第6巻"
59,22312,"彫金秘伝書:第6巻"
60,22313,"革細工秘伝書:第6巻"
61,22314,"裁縫秘伝書:第6巻"
62,22315,"錬成秘伝書:第6巻"
63,22316,"調理秘伝書:第6巻"
64,24266,"木工秘伝書:第7巻"
65,24267,"鍛冶秘伝書:第7巻"
66,24268,"板金秘伝書:第7巻"
67,24269,"彫金秘伝書:第7巻"
68,24270,"革細工秘伝書:第7巻"
69,24271,"裁縫秘伝書:第7巻"
70,24272,"錬成秘伝書:第7巻"
71,24273,"調理秘伝書:第7巻"
72,29484,"木工秘伝書:第8巻"
73,29485,"鍛冶秘伝書:第8巻"
74,29486,"板金秘伝書:第8巻"
75,29487,"彫金秘伝書:第8巻"
76,29488,"革細工秘伝書:第8巻"
77,29489,"裁縫秘伝書:第8巻"
78,29490,"錬成秘伝書:第8巻"
79,29491,"調理秘伝書:第8巻"
80,35618,"木工秘伝書:第9巻"
81,35619,"鍛冶秘伝書:第9巻"
82,35620,"板金秘伝書:第9巻"
83,35621,"彫金秘伝書:第9巻"
84,35622,"革細工秘伝書:第9巻"
85,35623,"裁縫秘伝書:第9巻"
86,35624,"錬成秘伝書:第9巻"
87,35625,"調理秘伝書:第9巻"
88,37734,"木工秘伝書:第10巻"
89,37735,"鍛冶秘伝書:第10巻"
90,37736,"板金秘伝書:第10巻"
91,37737,"彫金秘伝書:第10巻"
92,37738,"革細工秘伝書:第10巻"
93,37739,"裁縫秘伝書:第10巻"
94,37740,"錬成秘伝書:第10巻"
95,37741,"調理秘伝書:第10巻"
