key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,,Name,Icon,Action,StackSize,,Quest,CastTime,CastTimeline,Timeline
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,bit&01,str,Image,Action,byte,byte,Quest,byte,EventItemCastTimeline,byte
2000000,"",0,"",0,0,1,0,0,False,"",0,0,1,1,0,0,0,0
2000021,"オニィーの髪飾り",0,"オニィーの髪飾り",0,0,1,0,0,False,"",22623,1,1,1,0,3,0,0
2000024,"真新しい工具箱",0,"真新しい工具箱",0,0,1,0,0,False,"",21002,1,1,1,65563,3,0,0
2000028,"アーゼマローズ",0,"アーゼマローズ",0,0,1,0,0,False,"",25919,1,1,1,65562,3,0,0
2000029,"小さな金具",0,"小さな金具",0,0,1,0,0,False,"",21007,1,1,1,65568,3,0,0
2000038,"ファイアキャンディ",0,"ファイアキャンディ",0,0,1,0,0,False,"",22624,1,1,1,66704,3,0,0
2000039,"ウィンドキャンディ",0,"ウィンドキャンディ",0,0,1,0,0,False,"",22625,1,1,1,66704,3,0,0
2000040,"アースキャンディ",0,"アースキャンディ",0,0,1,0,0,False,"",22626,1,1,1,66704,3,0,0
2000041,"ボムの親指",0,"ボムの親指",0,0,1,0,0,False,"",30351,1,5,1,66705,3,0,0
2000042,"守護天節のランタン",0,"守護天節のランタン",0,0,1,0,0,False,"",24153,1,1,1,66706,5,0,0
2000043,"ボムの親指",0,"ボムの親指",0,0,1,0,0,False,"",30351,1,1,1,66706,3,0,0
2000044,"いたずらスパークラー",0,"いたずらスパークラー",0,0,1,0,0,False,"",22647,1,1,1,66706,3,0,0
2000045,"ファイアキャンディ",0,"ファイアキャンディ",0,0,1,0,0,False,"",22624,1,1,1,66700,3,0,0
2000046,"ウィンドキャンディ",0,"ウィンドキャンディ",0,0,1,0,0,False,"",22625,1,1,1,66700,3,0,0
2000047,"アースキャンディ",0,"アースキャンディ",0,0,1,0,0,False,"",22626,1,1,1,66700,3,0,0
